order_id,customer_id,order_date,status
1,326.0,2024-09-11 23:22:46,PLACED
2,233.0,2026-04-01 13:07:37,CANCELLED
3,121.0,2025-12-29 22:22:34,SHIPPED
4,441.0,2025-06-07 01:03:28,PLACED
5,193.0,2025-03-24 14:59:01,SHIPPED
6,93.0,2024-07-29 05:58:15,SHIPPED
7,45.0,2024-10-23 06:07:08,DELIVERED
8,8.0,2026-07-03 21:00:32,CANCELLED
9,480.0,2026-05-01 12:35:41,RETURNED
10,77.0,2024-07-14 09:12:33,SHIPPED
11,38.0,2026-05-25 23:21:57,RETURNED
12,204.0,2024-08-09 03:04:12,PLACED
13,286.0,2024-08-11 19:48:24,DELIVERED
14,121.0,2024-11-07 15:33:02,DELIVERED
15,402.0,24-03-2026,SHIPPED
16,65.0,04-03-2025,DELIVERED
17,,2025-04-24 20:31:49,SHIPPED
18,340.0,2025-11-17 23:27:35,RETURNED
19,367.0,2025-01-03 20:07:05,DELIVERED
20,332.0,2025-10-07 22:34:05,DELIVERED
21,434.0,2025-11-24 07:51:11,PLACED
22,332.0,2026-05-22 19:16:00,RETURNED
23,260.0,2025-01-05 19:01:23,PLACED
24,356.0,2024-09-04 00:41:02,SHIPPED
25,121.0,2025-01-09 03:46:17,CANCELLED
26,245.0,2024-10-19 08:57:40,SHIPPED
27,14.0,2025-11-20 16:26:00,CANCELLED
28,400.0,2026-05-21 23:57:16,CANCELLED
29,254.0,2026-04-11 22:54:46,RETURNED
30,77.0,2026-05-26 10:26:24,CANCELLED
31,259.0,2026-04-12 22:22:41,SHIPPED
32,164.0,2024-10-07 09:59:22,PLACED
33,405.0,2026-03-22 08:49:03,RETURNED
34,1.0,2025-03-19 17:14:35,SHIPPED
35,189.0,2026-05-15 02:17:44,PLACED
36,340.0,2025-03-13 00:53:40,CANCELLED
37,196.0,2024-09-01 07:20:06,CANCELLED
38,,2024-12-18 08:22:20,SHIPPED
39,144.0,2024-07-13 20:23:12,DELIVERED
40,437.0,2025-03-18 03:55:17,RETURNED
41,202.0,2025-03-30 13:18:36,SHIPPED
42,181.0,2025-07-17 18:16:24,SHIPPED
43,327.0,2024-08-04 18:26:17,RETURNED
44,379.0,2025-08-18 19:22:22,CANCELLED
45,426.0,2024-12-15 01:05:49,SHIPPED
46,280.0,2025-11-13 12:19:28,PLACED
47,175.0,2025-11-13 04:37:51,DELIVERED
48,96.0,2025-06-05 03:51:47,CANCELLED
49,92.0,2025-09-14 00:41:20,SHIPPED
50,496.0,2026-02-02 20:46:07,RETURNED
51,114.0,2024-11-28 00:03:50,RETURNED
52,312.0,2025-12-21 05:52:01,SHIPPED
53,441.0,2024-09-25 11:34:51,RETURNED
54,364.0,2025-02-15 01:00:58,CANCELLED
55,266.0,2025-03-02 01:46:53,RETURNED
56,,2025-02-15 09:28:11,CANCELLED
57,396.0,2026-05-01 14:37:34,SHIPPED
58,4.0,2025-08-17 06:30:08,PLACED
59,450.0,2025-08-21 03:23:23,RETURNED
60,39.0,2025-10-31 16:34:09,CANCELLED
61,307.0,03-05-2025,RETURNED
62,427.0,2025-05-05 04:52:16,DELIVERED
63,,2025-10-08 00:28:22,SHIPPED
64,202.0,2025-11-03 01:29:39,CANCELLED
65,56.0,2026-01-17 05:30:55,PLACED
66,111.0,2025-07-25 14:33:18,SHIPPED
67,419.0,2024-10-29 10:15:49,RETURNED
68,50.0,2025-08-01 13:29:21,DELIVERED
69,,2026-05-01 00:05:04,SHIPPED
70,357.0,2025-12-27 17:48:55,DELIVERED
71,487.0,2026-07-07 01:02:23,DELIVERED
72,91.0,2024-12-29 00:32:02,PLACED
73,357.0,2025-06-03 03:11:59,PLACED
74,310.0,2025-06-23 06:36:28,CANCELLED
75,4.0,2026-06-07 16:41:17,RETURNED
76,270.0,2025-11-16 13:05:59,CANCELLED
77,84.0,2026-03-14 05:22:23,RETURNED
78,415.0,2025-06-17 02:35:08,CANCELLED
79,30.0,2026-01-19 06:25:00,RETURNED
80,260.0,2025-02-21 20:17:25,RETURNED
81,227.0,2025-11-21 01:39:46,SHIPPED
82,253.0,2025-05-26 12:38:50,DELIVERED
83,278.0,2024-11-02 19:15:27,CANCELLED
84,494.0,2026-02-09 15:47:14,RETURNED
85,148.0,2024-07-14 11:13:09,RETURNED
86,467.0,2024-10-18 07:01:29,CANCELLED
87,,2025-04-20 00:46:37,PLACED
88,,2026-04-27 14:27:28,DELIVERED
89,191.0,2025-08-13 18:42:34,SHIPPED
90,38.0,2026-02-03 07:49:45,PLACED
91,410.0,2026-01-07 02:11:10,SHIPPED
92,3.0,2024-11-16 18:52:52,RETURNED
93,105.0,2026-06-23 12:27:22,SHIPPED
94,350.0,2025-04-22 00:07:49,RETURNED
95,269.0,2025-02-18 03:39:08,RETURNED
96,367.0,2024-12-18 23:24:49,SHIPPED
97,217.0,2024-09-01 13:52:17,CANCELLED
98,369.0,2025-08-21 22:41:53,SHIPPED
99,,2024-12-26 04:33:04,RETURNED
100,379.0,2026-03-27 02:01:12,DELIVERED
101,108.0,2026-04-02 10:33:09,SHIPPED
102,413.0,2024-11-20 19:09:47,PLACED
103,378.0,2026-01-10 02:32:32,SHIPPED
104,103.0,2025-09-04 13:36:44,PLACED
105,321.0,2026-03-28 21:43:21,CANCELLED
106,,2026-04-04 14:32:21,SHIPPED
107,213.0,2024-09-29 17:57:20,RETURNED
108,238.0,2026-02-02 00:05:47,CANCELLED
109,207.0,2024-10-21 09:23:21,CANCELLED
110,91.0,2024-12-04 10:18:55,CANCELLED
111,238.0,2026-04-20 03:02:33,DELIVERED
112,288.0,2024-08-27 09:23:29,CANCELLED
113,80.0,2024-10-15 14:52:38,DELIVERED
114,73.0,2024-12-12 00:12:21,CANCELLED
115,196.0,2025-10-23 16:00:59,PLACED
116,201.0,2024-10-28 18:14:11,CANCELLED
117,492.0,2026-05-23 00:02:40,PLACED
118,235.0,2026-04-23 21:03:00,SHIPPED
119,475.0,2025-11-22 14:59:18,SHIPPED
120,490.0,15-07-2024,SHIPPED
121,89.0,2025-11-08 11:02:45,RETURNED
