order_id,customer_id,order_date,status
1,326.0,2024-11-09 23:22:46,PLACED
2,233.0,2026-01-04 13:07:37,CANCELLED
3,121.0,,SHIPPED
4,441.0,2025-07-06 01:03:28,PLACED
5,193.0,,SHIPPED
6,93.0,,SHIPPED
7,45.0,,DELIVERED
8,8.0,2026-03-07 21:00:32,CANCELLED
9,480.0,2026-01-05 12:35:41,RETURNED
10,77.0,,SHIPPED
11,38.0,,RETURNED
12,204.0,2024-09-08 03:04:12,PLACED
13,286.0,2024-11-08 19:48:24,DELIVERED
14,121.0,2024-07-11 15:33:02,DELIVERED
15,402.0,,SHIPPED
16,65.0,,DELIVERED
17,-1.0,,SHIPPED
18,340.0,,RETURNED
19,367.0,2025-03-01 20:07:05,DELIVERED
20,332.0,2025-07-10 22:34:05,DELIVERED
21,434.0,,PLACED
22,332.0,,RETURNED
23,260.0,2025-05-01 19:01:23,PLACED
24,356.0,2024-04-09 00:41:02,SHIPPED
25,121.0,2025-09-01 03:46:17,CANCELLED
26,245.0,,SHIPPED
27,14.0,,CANCELLED
28,400.0,,CANCELLED
29,254.0,2026-11-04 22:54:46,RETURNED
30,77.0,,CANCELLED
31,259.0,2026-12-04 22:22:41,SHIPPED
32,164.0,2024-07-10 09:59:22,PLACED
33,405.0,,RETURNED
34,1.0,,SHIPPED
35,189.0,,PLACED
36,340.0,,CANCELLED
37,196.0,2024-01-09 07:20:06,CANCELLED
38,-1.0,,SHIPPED
39,144.0,,DELIVERED
40,437.0,,RETURNED
41,202.0,,SHIPPED
42,181.0,,SHIPPED
43,327.0,2024-04-08 18:26:17,RETURNED
44,379.0,,CANCELLED
45,426.0,,SHIPPED
46,280.0,,PLACED
47,175.0,,DELIVERED
48,96.0,2025-05-06 03:51:47,CANCELLED
49,92.0,,SHIPPED
50,496.0,2026-02-02 20:46:07,RETURNED
51,114.0,,RETURNED
52,312.0,,SHIPPED
53,441.0,,RETURNED
54,364.0,,CANCELLED
55,266.0,2025-02-03 01:46:53,RETURNED
56,-1.0,,CANCELLED
57,396.0,2026-01-05 14:37:34,SHIPPED
58,4.0,,PLACED
59,450.0,,RETURNED
60,39.0,,CANCELLED
61,307.0,,RETURNED
62,427.0,2025-05-05 04:52:16,DELIVERED
63,-1.0,2025-08-10 00:28:22,SHIPPED
64,202.0,2025-03-11 01:29:39,CANCELLED
65,56.0,,PLACED
66,111.0,,SHIPPED
67,419.0,,RETURNED
